,text,Positive,Negative,Neutral,Compound,Status
37," 
Concall
Onshore v/s offshore at 75:25
doesn't see a ratio altering at most to 65:25 giving a strong moat to retain margins .EPD biz is aiding factor here too.
WFH is here to stayƒ?­‹÷ Hybrid Model : werin employess on rotation basis wll work for few days from offc. 4/n",11.700000000000001,0.0,88.3,71.52,neg
38,"What's the easiest way to ensure your employees have all the tools they need to be productive from any location? Anunta's enterprise  provides anytime, anywhere access to end-users in a secure environment. Click to learn more:    ",19.6,0.0,80.4,77.83,neg
39,"I know we are wfh..but this RU 
akka is way too casual for a meeting with all the stakeholders Ð???Ð?ÏÝÐ?¯ƒ?ƒ??‹÷",14.000000000000002,0.0,86.0,41.370000000000005,neg
40,"RT  Leading IT companies like TCS, Infosys, Wipro, and HCL Technologies are chalking out plans to recall their employees. Whatƒ?Ý",11.600000000000001,0.0,88.4,36.120000000000005,neg
41,"Leading IT companies like TCS, Infosys, Wipro, and HCL Technologies are chalking out plans to recall their employees. What will this mean to the employees who are shifting back to the office after working from home for long? 
 

",6.3,0.0,93.7,36.120000000000005,neg
42,"Dark scene at home. WFH plan changed to PTO, thanks to  for helping me change the plan. Powercut from 8:30 am to 5:10 pm. Thank go, tomorrow returning to Bengaluru! ",22.6,0.0,77.4,78.4,neg
43,"  I m fcng the intrnt isu snce 6th Oct, bt til nw no actn takn by jio It efctd my wrk nt abl 2 wrk ,as Its WFH,bt jio dn't care abt d cstmr,stil de r nt takng any step 2 reslv d isu,is der any1 hu cn advice me abt wt I need 2 do I hv alrdy vistd jio offc in my CY",0.0,8.3,91.7,-58.97,pos
44,Doing WFH by candlelight today.  Just like the pioneers! ,25.900000000000002,0.0,74.1,41.99,neg
45,"Hey Guys can anyone share their work experience with me??
 ",22.1,0.0,77.9,37.36,neg
46," That's being evident from a lots of incidents.

- From to Radio to Podcasts again. 
- From being Nomad, the Digital Nomad culture . 
- Self learning at Gurukuls to again Self learning at Digital Gurukuls like YouTube. 
-From Office to WFH, now again wants to go back to office.",5.4,0.0,94.6,36.120000000000005,neg
47,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
48,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
49,"Premium comfort for a healthy back! Head to the link in bio to shop.

                ",33.300000000000004,0.0,66.7,66.96,neg
50,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
51,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
52, Im actually happy about it!! I was sick of WFH,29.4,22.6,48.0,24.62,neg
53,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
54,in other sad news wfh honeymoon over.,0.0,34.1,65.9,-47.67,pos
55,"        Its more then 8 hours? How long do you expect consumers to wait? Will i be compensated for losses incurred by MSEB? Its high time,So much Corruption in MSEB Corrupted Officers should be Penalized &amp; Suspended for Unsatisfactory Work.  ",0.0,15.299999999999999,84.7,-74.61,pos
56,"I know now for sure, WORK FROM HOME SUCKS
",19.900000000000002,28.000000000000004,52.0,-23.419999999999998,pos
57,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
58,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
59,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
60,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
61,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
62,"RT  Friends, job opportunities for various locations
iOS,Angular,Magenta - Mumbai  (permanent work from home available)
Vue JS,ƒ?Ý",28.9,0.0,71.1,69.08,neg
63,"Benefits Of Remote Jobs
Ð???Blog Link: 

Ð???For More Career Advice Visit 

      ",26.3,0.0,73.7,55.14,neg
64,"Make remote work productive by seamlessly communicating and motivating your remote teams via cloud telephony. Read Now-

 
.
.
       ",16.7,0.0,83.3,49.39,neg
65,"Increase efficiency and productivity by managing working hours, getting a detailed report on daily tasks, and making use of our Desklog automated time tracking software:
     ",17.9,0.0,82.1,58.589999999999996,neg
66,"RT  Back in office after 19 months. In March 2020, WFH felt like liberation. Now being back in office feels liberating. 
Iƒ?Ý",10.6,0.0,89.4,36.120000000000005,neg
67,"Want to track employee's work from home? Here's a perfect solution for you.
watch this video till the end.

           ",32.7,0.0,67.30000000000001,74.3,neg
68,RT  Celebrate this  with   n Enjoy U/L local/STD calls &amp; U/L data.ƒ?Ý,43.4,0.0,56.599999999999994,78.45,neg
69,"There's no electricity since morning due to Voltage Fluctuation. SR 0000022179499. WFH is impacted, No one bothe4s to fix this. Shame on you MBSEB        ",0.0,27.6,72.39999999999999,-79.2,pos
70,"Smile is the best weapon for all situation ƒ??‹÷Ð???ƒÏ‹÷   
              ",48.3,13.900000000000002,37.8,75.5,neg
71,"that too after having great success wearing 7, 77 some wired astorloger suggested to make all 9 . it was never been about person dhoni it was abot 7th heaven eyewitness news WFH bruce almighty channel 7 idea, mentor singh dhoni sain kiya hogA dhoni captain 7 story bruce almighty",20.5,0.0,79.5,90.22,neg
72,"  I think airtel want lose its costumer to other networks, they have removed 3gb pack and extra data packs in the time where PPL are more into WFH from remote places. It's actually good chance for   attract those customers.",19.6,6.1,74.3,61.24000000000001,neg
73,"RT  Chalo I sleep now warna kal wfh hoga nahi will join again morning  whole day keep celebrating 
17 Years Of Karan Singh Gƒ?Ý",21.9,0.0,78.10000000000001,70.96000000000001,neg
74,"""Geyser off nahi kiya tha?"" is worse than ""Online check-in nahi kiya tha?"" 

     ",0.0,22.400000000000002,77.60000000000001,-53.620000000000005,pos
75,RT   for long hours without movements in the body can weaken the lower back and affect  Here are 3 simple ,0.0,22.7,77.3,-61.24000000000001,pos
76,Surprising Expectations Around Returning to Work    ,29.599999999999998,0.0,70.39999999999999,27.32,neg
77,RT  Celebrate this  with   n Enjoy U/L local/STD calls &amp; U/L data.ƒ?Ý,43.4,0.0,56.599999999999994,78.45,neg
78,"But everytime I call, the due time for resolving keeps getting extended. Atleast have the courtesy to inform the users. Wfh environment is difficult in such scenario. I don't expect this from a brand like airtel.",19.400000000000002,6.4,74.2,62.49,neg
79,"I tried various spaces in my house and use different types of setups for production. Now I have my current  setup and that is comfortable and productive. 
    ",12.1,0.0,87.9,51.06,neg
80," No, of course. The bloody problem is management thinking they know what is good for everybody. Just ask! We did an anonymous survey and our results were clear: people wanted a balanced approach with options of doing WFH as and when needed.",11.1,16.3,72.6,-38.019999999999996,pos
81,RT  Celebrate this  with   n Enjoy U/L local/STD calls &amp; U/L data.ƒ?Ý,43.4,0.0,56.599999999999994,78.45,neg
82,"Has anyone experienced poor service of Spicejet for international tickets ? You cannot reach anyone on phone, any message on whattsapp, customercare phone,email or online changes.spicejet.  Is it the workfromhome effect or indifference of spicejet ",0.0,14.799999999999999,85.2,-52.26,pos
83,RT  Celebrate this  with   n Enjoy U/L local/STD calls &amp; U/L data.ƒ?Ý,43.4,0.0,56.599999999999994,78.45,neg
84,"Friend...., Great Ð??? Ð?? Morning &amp; Day Ð???

FRIEND...., Become YOURSELF as a BHASKAR'S ASSOCIATE. Ð?ÏƒÏ‹÷

Whatsapp me only on +91-9793609235.

             ",21.0,0.0,79.0,72.36,neg
85,"2 simple  to strengthen the  . However, people with severe  should consult the doctor before performing any exercise.
   
Check out the video: ",10.0,11.4,78.60000000000001,-7.720000000000001,pos
86," for long hours without movements in the body can weaken the lower back and affect  Here are 3 simple  you can do to keep your back healthy.
 
       

",8.799999999999999,16.3,74.9,-31.819999999999997,pos
87, I am doing fine too. Still WFH. Cooped up at home but loving it :),49.4,0.0,50.6,89.45,neg
88,What do you think about this idea? Will it be a good productivity hack considering WFH? ,18.9,0.0,81.10000000000001,50.4,neg
89,RT  Celebrate this  with   n Enjoy U/L local/STD calls &amp; U/L data.ƒ?Ý,43.4,0.0,56.599999999999994,78.45,neg
90,RT  Celebrate this  with   n Enjoy U/L local/STD calls &amp; U/L data.ƒ?Ý,43.4,0.0,56.599999999999994,78.45,neg
91,RT  Celebrate this  with   n Enjoy U/L local/STD calls &amp; U/L data.ƒ?Ý,43.4,0.0,56.599999999999994,78.45,neg
92,RT      it's time for India's best mobile brand to bring it's tablets series back. Checkƒ?Ý,23.1,0.0,76.9,63.690000000000005,neg
93,"Celebrate this  with   n Enjoy U/L local/STD calls &amp; U/L data.                                           
     
Book Now:- 
Pay LL/BB bills:  ",34.0,6.9,59.099999999999994,75.79,neg
94," Thanks for your support..
I want use modem for WFH usage
Jio Wireless Routers out stock in online &amp; stores

How can I get product ??",17.2,0.0,82.8,55.14,neg
95,"RT  OK! Here is the live-updating Google sheet link for the Unofficial  WFH/Remote Studio List!

",20.1,0.0,79.9,54.49,neg
96,"Power cut has been happening since 2 days in our area,whole night light was not there yesterday and today also n there is no reply from 

 We are unable to do our jobs wfh and do not sleep since 2 days power cut complaint has been done many times but not fixed.",0.0,12.3,87.7,-51.06,pos
97,"RT  Chalo I sleep now warna kal wfh hoga nahi will join again morning  whole day keep celebrating 
17 Years Of Karan Singh Gƒ?Ý",21.9,0.0,78.10000000000001,70.96000000000001,neg
98,Hey! R U ready to take the next step towards finding or creating the work you love? Act now and you could be in your next dream  by Christmas! Ð??ýÐ??  Learn more:      ,32.4,0.0,67.60000000000001,90.89,neg
99,"Deal with the constant berating until they actually start cursing at you. I donƒ??t want to just ƒ??take itƒ? anymore. I need a WFH job because I am immunocompromised because of my cancers. Only have 1.5 lungs. Itƒ??s not worth a risk of Covid, vaccinated or not. Which I am of course.",8.4,3.4000000000000004,88.2,34.17,neg
100,"So thankful for them giving me a WFH job, because my last job wasnƒ??t. Started me out .75 cents on the dollar less than my last job, which took 7 years to get to that salary .75 more on the dollar. The convenience of walking into my living room and starting work daily was the",11.700000000000001,0.0,88.3,77.52,neg
101,"RT  Is your WFH routine leaving you with no time to go house hunting? Watch this couple discover the new way to browse, and shorƒ?Ý",0.0,9.6,90.4,-37.36,pos
102,"      Need best multi purpose adjustable table for WFH ,Look like TableMate. Need some steady ones.",34.0,0.0,66.0,77.17,neg
103,"RT  Chalo I sleep now warna kal wfh hoga nahi will join again morning  whole day keep celebrating 
17 Years Of Karan Singh Gƒ?Ý",21.9,0.0,78.10000000000001,70.96000000000001,neg
104,"Finally  to   ... Tough day for       + tomorrow is Monday Ð??? 
  ",0.0,18.5,81.5,-25.929999999999996,pos
105,I am glad it's still WFH. Because it would be very difficult to face rival fans at workplace. ,14.399999999999999,13.4,72.1,5.34,neg
106, Wfh hai Abhi. Nov se I can hope to step out,24.4,0.0,75.6,44.04,neg
107,"Publish this photo royalty free on your website / book. Click on the link below:



                 ",20.200000000000003,0.0,79.80000000000001,51.06,neg
108,"Few companies I know have lifted the WFH rule and slowly started coming to office. Assuming vaccines are mandatory to come to the office, What do you do about the unvaccinated folks?",4.2,0.0,95.8,7.720000000000001,neg
109,"RT  Meet Hour on  Hurray! we got listed under startup ecosystem. 



  ",28.499999999999996,0.0,71.5,61.14000000000001,neg
110,"Honest thoughts during a video call!Ð??ùÐ?¬ƒ?Ð??¯

Which one are you? Let us know in the comments below! ƒª?‹÷

  ",23.200000000000003,0.0,76.8,70.44,neg
111,RT  Donƒ??t let the mandate of WFH stop you from monitoring employee productivity. Choose Digital HRMS today ,0.0,13.8,86.2,-37.36,pos
112,"Working from home trend is killing innovation &amp; making employees more labour. 
Agree?
   ",27.200000000000003,22.2,50.6,-0.5599999999999999,pos
113,"Yaha ek naa ho raha, aap 108 krke baithe ho pehle.

It's a way of exercise and stretching and ensure you get sunlight(vitamin D), most WFH peeps forget that. 

Health&gt;Work, Fix Sleep, Make a Morning and Night Schedule and usme Kaam fit karo not other way around. ",10.4,4.3999999999999995,85.3,44.72,neg
114,"The concept of time is self-evident. An hour consists of a certain number of minutes, a day of hours and a year of days.
             ",15.2,0.0,84.8,34.0,neg
115,"WFH Tip!

Blowing on wine in the mug will help convince your zoom meeting that itƒ??s hot chai.",25.1,0.0,74.9,65.44,neg
116," Parents also get elated while seeing son at home after more than a decade, especially mother , while also performing his duty.. it's a boon...
My parents had expressed their feelings while I had WFH  in last year for two months.",10.4,0.0,89.60000000000001,63.690000000000005,neg
117,"Thanks to WFH I came to my home town(Gaya) 2 months back. despite of hectic work schedules I can have meals with my parents, those 15 min ƒ??‹÷ breaks with them, seeing my 3 yr old son playing with dada daadi. Lifeƒ??s good",19.2,0.0,80.80000000000001,82.05,neg
118,"Is your UPS Smart? Ð?Ï?
 Smart WiFi Router UPS
is here with Ð?ÐÝÐ?Ð®Ðð Ð?Ð­Ð?Ð®ÐÿÐ½ÐõÐÿ!
.
Our Ups has a Smart Battery Management System(BMS) that automatically charges when power is ON.
    ",26.400000000000002,5.8999999999999995,67.7,80.47999999999999,neg
119,"RT  Working from anywhere ƒ?? the good, the bad and the lovely!

Read on - 

  ",33.6,16.0,50.3,59.3,neg
120,"RT  Working from anywhere ƒ?? the good, the bad and the lovely!

Read on - 

  ",33.6,16.0,50.3,59.3,neg
121,"Working from anywhere ƒ?? the good, the bad and the lovely!

Read on - 

          ",35.3,16.8,48.0,59.3,neg
122,Oh you have not yet seen what the  has birthed in this realm! WFH IT employees ko maa haath se khilaathi hai Ð??­ worse! ,0.0,15.0,85.0,-61.79,pos
123," Hi Rahul, we are working on a concept of bringing offices at home. Sound insulated work pods for team so people can WFH comfortably. Looking for a collaboration. 

Web - ",9.700000000000001,0.0,90.3,42.15,neg
124,"RT  Is your WFH routine leaving you with no time to go house hunting? Watch this couple discover the new way to browse, and shorƒ?Ý",0.0,9.6,90.4,-37.36,pos
125,"Hello all My Dearszz!ƒÏ

Here's my new content 
 Vs  of Work From Home,
I know people who Work from home have a lot of Pressures, Based on that i have did few scenario's,
Hope you all like the video!Ð???

 

",15.6,5.5,78.9,63.980000000000004,neg
126,"Hey  
Share your  experience with us in the most creative way possible on social media and stand a chance to win exciting prizes. Donƒ??t forget to tag us and use our hashtags     ",40.699999999999996,4.3999999999999995,55.00000000000001,94.17999999999999,neg
127,"RT  OK. Here is my prediction (I was correct to the day this time last year). 

Plan B mitigations ƒ?? mandatory masking, vaƒ?Ý",19.3,0.0,80.7,58.220000000000006,neg
128,"RT  Is your WFH routine leaving you with no time to go house hunting? Watch this couple discover the new way to browse, and shorƒ?Ý",0.0,9.6,90.4,-37.36,pos
129,"RT  Is your WFH routine leaving you with no time to go house hunting? Watch this couple discover the new way to browse, and shorƒ?Ý",0.0,9.6,90.4,-37.36,pos
130,"Great Ð??? Ð?? Morning &amp; Day Ð???

FRIEND...., Become YOURSELF as a BHASKAR'S ASSOCIATE. Ð?ÏƒÏ‹÷

Whatsapp me only on +91-9793609235.

              ",21.9,0.0,78.10000000000001,72.36,neg
131,"   Time will tell, the progress is that companies atleast now have an option of WFH even 2 days a week in my case, which was unthinkable 18 months ago. 

I see very openness in companies to keep tweaking this model.",13.600000000000001,0.0,86.4,66.97,neg
132,"  ƒ??On behalf of my family, friends, relatives and office colleagues. Meditation with Gurudev  Ji indeed helped a lot during pandemic  and  

",15.4,0.0,84.6,53.620000000000005,neg
133, I've got a featherlite chair...It's the best wfh decision ever.,34.4,0.0,65.60000000000001,63.690000000000005,neg
134,"RT  OK. Here is my prediction (I was correct to the day this time last year). 

Plan B mitigations ƒ?? mandatory masking, vaƒ?Ý",19.3,0.0,80.7,58.220000000000006,neg
135,RT  Government adviser fears 'we'll have another lockdown Christmas' ,0.0,25.900000000000002,74.1,-42.15,pos
136,"    it's time for India's best mobile brand to bring it's tablets series back. Check the demand for tablets in last 2years it increased alot due to online classes and WFH. 

Before your competitors grab the spot relaunch the mi pad 5",14.099999999999998,3.3000000000000003,82.6,70.03,neg
137,"RT  Is your WFH routine leaving you with no time to go house hunting? Watch this couple discover the new way to browse, and shorƒ?Ý",0.0,9.6,90.4,-37.36,pos
138,"
Hello Sir, we are facing lot of issues with stray dogs, around 20+ dogs daily bark and fight day/night disturbing everyone who are WFH. When dog catcher come dogs easily escape as they can smell them coming. Please help us as it causing lot of disturbance. ",16.1,15.0,68.89999999999999,-10.27,pos
139,RT  What's your  to start the week? We ƒÏ‹÷ Airtablet Olivia's advice straight from her  setup. Share your ownƒ?Ý,20.8,0.0,79.2,53.620000000000005,neg
140,"RT  Is your WFH routine leaving you with no time to go house hunting? Watch this couple discover the new way to browse, and shorƒ?Ý",0.0,9.6,90.4,-37.36,pos
141,"RT  ƒñ 16 Hours left to release the Contract Ð??¾

See countdown here: 

Be Ready For Ð??¾
ƒ?? Upcoming Big Giveawƒ?Ý",14.7,0.0,85.3,53.620000000000005,neg
142," If he can speak even normal English...i can get him admin cum executive role. Ask him to DM me.

Location - Gurgaon (WFH as of now)
Pay - 20-22K",0.0,5.1,94.89999999999999,-10.27,pos
143, Better Solution: Wfh and everything else by cycle,46.400000000000006,0.0,53.6,63.690000000000005,neg
144,"RT  Is your WFH routine leaving you with no time to go house hunting? Watch this couple discover the new way to browse, and shorƒ?Ý",0.0,9.6,90.4,-37.36,pos
145,RT  Working from home? Learn tips to stay productive and positive.     viƒ?Ý,26.5,0.0,73.5,60.72,neg
146,""" Work from home is the best way for now. "" British scientists say.
 
 

Details:
",25.900000000000002,0.0,74.1,63.690000000000005,neg
147,"RT  3 foods for  

1. Fresh fruit - 
- prebiotic
- antioxidants
- easy to digest

2. Nuts/ Chana-singdana-
- minerals
-ƒ?Ý",27.1,0.0,72.89999999999999,63.690000000000005,neg
148,RT      I am surprised work from home isn't being adopted permanently. Pandemic haƒ?Ý,14.7,0.0,85.3,22.63,neg
149,"This is some very reputed big shot MNC. Working together since 2-3 months only. They both don't know each other personally, have seen faces offline only once due to WfH.",0.0,4.9,95.1,-12.8,pos
150,Please do!Ð?Ïî   ,72.2,0.0,27.800000000000004,38.019999999999996,neg
151,"What does it take to free yourself from these unhealthy patterns and reach a more sustainable, rewarding work-life balance?
     ",31.7,13.3,54.900000000000006,56.879999999999995,neg
152,Work from home wfh is new normal and should continue to save money from costly office spaces and travel time of employees... ,13.0,5.7,81.3,42.15,neg
153,"RT  Ordering something yum has been a welcome event, especially through this WFH phase. Compare notes on comfort food and staƒ?Ý",23.400000000000002,0.0,76.6,67.05,neg
154,"RT  Hiring - Microsoft Dynamics Developer

Experience Required ƒ?? 3Yrs - 7Yrs
Location - Any Location in India (WFH)
CTC - 3 LPƒ?Ý",13.4,0.0,86.6,38.99,neg
155,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
156,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
157,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
158,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
159,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
160,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
161,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
162,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
163,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
164,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
165,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
166,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
167,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
168,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
169,"RT  With the rise of WFH, the laptop has become a must-have gadget! And the Intel 11th Gen Core processors are your best bet, if yoƒ?Ý",15.8,0.0,84.2,66.96,neg
170,"RT  How New Technology Is Helping Remote Work 

     ",23.9,0.0,76.1,29.599999999999998,neg
